,Unique,Counts
9,almond paste,36
70,bulgur,36
665,walnut piece,35
151,collard green,35
2,agave nectar,35
427,penne pasta,35
108,cherry brandy,35
244,garam masala,35
397,oyster,34
435,phyllo pastry,34
159,corn bread,34
622,tea bag,34
51,bibb lettuce,34
65,brioche,34
599,stuffing,34
270,habanero chile,34
352,matzo meal,34
15,anise seed,33
452,pizza crust,33
291,iceberg lettuce,33
152,coloring,33
469,preserve,33
177,crookneck squash,32
10,amaretti,32
170,crab meat,32
663,wafer cooky,32
146,cod fillet,32
73,butter lettuce,32
497,ricotta salata,32
519,salad green,32
282,hen,32
332,loaf,32
604,sunflower seed,32
494,rice noodle,32
675,wheat bread,31
481,quince,31
567,slab bacon,31
517,sake,31
646,turbinado,31
11,amaretto,31
336,macaroni,30
458,poblano chily,30
358,mesclun,30
432,petite pea,30
392,orecchiette,30
104,chanterelle,30
442,pimenton,30
388,orange bell pepper,30
267,guajillo chile,30
285,hominy,30
436,phyllo sheet,29
498,rigatoni,29
43,bay scallop,29
81,cannellini bean,29
78,calvado,29
206,egg bread,29
348,marshmallow,28
535,savoy cabbage,28
20,applesauce,28
641,trout,28
199,duck,28
568,snapper,28
345,marinara sauce,28
58,bonito flake,27
95,caviar,27
590,sriracha,27
673,wheat,27
17,apple brandy,27
454,plantain,27
553,shank,27
492,rib roast,27
374,mustard powder,27
264,grit,27
317,lasagna noodle,27
369,mung bean sprout,27
384,okra,26
451,pita loaf,26
94,cauliflower floret,26
337,mace,26
512,rye bread,26
52,bing cherry,26
579,soybean paste,26
213,espresso,26
314,lager,26
234,flounder,26
148,coffee bean,25
480,queso fresco,25
638,topping,25
539,scotch,25
625,tentacle,25
311,kiwi,25
242,fusilli,25
564,sirloin,25
351,matzo,25
684,wonton wrapper,25
606,swordfish steak,25
548,serrano ham,24
38,barley,24
644,tuna,24
275,ham hock,24
596,strawberry jam,24
349,masa harina,24
13,andouille sausage,24
1,adobo sauce,24
409,passion fruit,23
643,truffle,23
589,squid,23
356,melon,23
253,gingersnap,23
650,twist,23
194,dill seed,23
134,ciabatta,23
666,wasabi paste,23
310,kirsch,22
603,summer squash,22
252,ginger ale,22
198,drumstick,22
499,roast,22
316,lard,22
164,cornichon,22
541,seaweed,22
218,fava bean,22
258,grain bread,22
185,curry leaf,21
669,water chestnut,21
120,chile sauce,21
226,fish,20
672,wax bean,20
616,tapioca,20
283,herb,20
518,salad,20
0,acorn squash,20
127,chipotle chile powder,20
574,sorbet,20
231,flatbread,20
533,sauerkraut,20
195,dillweed,20
215,extract,20
88,cardamom seed,20
549,sesame,20
237,focaccia,20
531,sardine,19
380,nut,19
91,cassi,19
92,catfish fillet,19
193,dill pickle,19
54,bitter,19
19,apple jelly,19
465,port,19
475,pumpernickel bread,19
655,veal shank,19
25,arrowroot,19
594,stout,19
357,merlot,18
150,coleslaw,18
313,ladyfinger,18
229,flaked,18
637,top sirloin steak,18
109,cherry preserve,18
276,ham steak,18
642,trout fillet,18
629,toast,18
575,sourdough,18
524,salmon steak,18
654,veal scallop,18
411,pasta shell,18
680,whitefish,17
479,quail,17
266,guajillo,17
201,duck fat,17
547,serrano chily,17
190,dashi,17
179,crouton,17
602,sumac,17
489,raspberry preserve,17
154,cookie,17
124,chip,17
363,miso paste,17
503,romaine lettuce leaf,17
395,orzo,17
611,tamarind,17
520,salami,17
302,kale leaf,17
624,tenderloin roast,17
526,salsa verde,17
305,key,17
66,brisket,17
565,sirloin steak,16
53,biscuit,16
434,phyllo dough,16
619,tartar sauce,16
429,peperoncini,16
84,caramel sauce,16
667,wasabi powder,16
232,flaxseed,16
477,pumpkin pie spice,16
223,filet mignon,16
633,tomatillo salsa,16
169,crab leg,16
306,kidney,16
303,kelp,16
447,pistachio nut,16
155,cookie crumb,15
297,kabocha squash,15
473,puff pastry sheet,15
35,bamboo shoot,15
504,rose water,15
581,spaghettini,15
557,shiitake,15
143,cocoa,15
131,chorizo sausage,15
355,meat,15
555,shell pasta,15
573,sole fillet,15
338,mackerel,15
544,semolina,15
628,tilapia fillet,15
550,sesame paste,14
168,crab,14
309,kimchi,14
609,tagliatelle,14
334,lobster tail,14
153,confit duck leg,14
354,meal,14
415,pea shoot,14
112,chia seed,14
676,wheat germ,14
204,edamame,14
136,cider,14
368,muffin,14
422,pear nectar,14
623,tea leaf,13
268,guava,13
679,whisky,13
3,ale,13
612,tamarind concentrate,13
23,apricot nectar,13
339,mahimahi,13
265,guacamole,13
682,winter squash,13
605,swordfish,13
279,harissa,13
677,wheel,13
433,phyllo,13
188,cutlet,13
209,enchilada sauce,13
418,peach schnapp,13
222,filet,13
216,farro,13
513,rye whiskey,13
558,shortbread cooky,13
438,pickle relish,13
115,chicory,13
576,sourdough baguette,13
523,salmon roe,13
196,dough,13
402,pappardelle,12
118,chile paste,12
39,bas,12
328,linguica,12
211,epazote,12
653,veal cutlet,12
448,pita,12
135,ciabatta roll,12
598,strip steak,12
630,toffee,12
